Total duration: 0.64225s
File: basic_control.py
File duration: 0.585428s (91.15%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         2|  2.88486e-05|  1.44243e-05|  0.00%|import serial
(call)|         1|     0.024374|     0.024374|  3.80%|# <frozen importlib._bootstrap>:986 _find_and_load
     2|         1|  4.05312e-06|  4.05312e-06|  0.00%|import time
     3|         1|  1.38283e-05|  1.38283e-05|  0.00%|from packet import PacketHandler
(call)|         1|   0.00561714|   0.00561714|  0.87%|# <frozen importlib._bootstrap>:986 _find_and_load
     4|         0|            0|            0|  0.00%|
     5|         1|   3.8147e-06|   3.8147e-06|  0.00%|config_file_name = 'xwr68xx_profile_2021_10_24T03_23_44_468.cfg'
     6|         0|            0|            0|  0.00%|
     7|         1|  3.09944e-06|  3.09944e-06|  0.00%|cli_port = None
     8|         1|  4.05312e-06|  4.05312e-06|  0.00%|data_port = None
     9|         0|            0|            0|  0.00%|
    10|         2|  8.34465e-06|  4.17233e-06|  0.00%|def config(config_file='xwr68xx_profile_2021_10_24T03_23_44_468.cfg'):
    11|         1|  1.66893e-05|  1.66893e-05|  0.00%|    cli_port = serial.Serial('/dev/tty.SLAB_USBtoUART', 115200)
(call)|         1|    0.0065012|    0.0065012|  1.01%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialutil.py:180 __init__
    12|         1|  1.66893e-05|  1.66893e-05|  0.00%|    data_port = serial.Serial('/dev/tty.SLAB_USBtoUART4', 921600)
(call)|         1|   0.00424027|   0.00424027|  0.66%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialutil.py:180 __init__
    13|         1|  1.19209e-05|  1.19209e-05|  0.00%|    cli_port.reset_input_buffer()
(call)|         1|  0.000129938|  0.000129938|  0.02%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialposix.py:679 reset_input_buffer
    14|         1|  1.38283e-05|  1.38283e-05|  0.00%|    cli_port.reset_output_buffer()
(call)|         1|  9.41753e-05|  9.41753e-05|  0.01%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialposix.py:685 reset_output_buffer
    15|         1|  1.52588e-05|  1.52588e-05|  0.00%|    data_port.reset_input_buffer()
(call)|         1|  0.000207901|  0.000207901|  0.03%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialposix.py:679 reset_input_buffer
    16|         1|  3.29018e-05|  3.29018e-05|  0.01%|    data_port.reset_output_buffer()
(call)|         1|  0.000183105|  0.000183105|  0.03%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialposix.py:685 reset_output_buffer
    17|         0|            0|            0|  0.00%|
    18|         0|            0|            0|  0.00%|    # Read the configuration file and send it to the board
    19|        55|  0.000282288|   5.1325e-06|  0.04%|    config = [line.rstrip('\r\n') for line in open(config_file)]
(call)|         1|  4.00543e-05|  4.00543e-05|  0.01%|# /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.8/lib/python3.8/_bootlocale.py:33 getpreferredencoding
(call)|         1|  3.48091e-05|  3.48091e-05|  0.01%|# /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.8/lib/python3.8/codecs.py:309 __init__
(call)|         2|  3.67165e-05|  1.83582e-05|  0.01%|# /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.8/lib/python3.8/codecs.py:319 decode
(call)|         1|  0.000210047|  0.000210047|  0.03%|# basic_control.py:19 <listcomp>
    20|        53|   0.00303578|  5.72789e-05|  0.47%|    for i in config:
    21|        52|   0.00163031|   3.1352e-05|  0.25%|        cli_port.write((i+'\n').encode('latin-1'))
(call)|        52|    0.0149992|  0.000288445|  2.34%|# /Users/Anuj/Library/Python/3.8/lib/python/site-packages/serial/serialposix.py:612 write
    22|        52|   0.00158119|  3.04075e-05|  0.25%|        print(i)
    23|        52|     0.578637|    0.0111276| 90.10%|        time.sleep(0.01)
    24|         0|            0|            0|  0.00%|
    25|         1|  5.24521e-06|  5.24521e-06|  0.00%|    return cli_port, data_port
    26|         0|            0|            0|  0.00%|
    27|         1|   3.0756e-05|   3.0756e-05|  0.00%|cli_port, data_port = config()
(call)|         1|     0.611751|     0.611751| 95.25%|# basic_control.py:10 config
